epoch;cosine_proximity;loss;mean_absolute_error;mean_absolute_percentage_error;mean_squared_error;val_cosine_proximity;val_loss;val_mean_absolute_error;val_mean_absolute_percentage_error;val_mean_squared_error
0;-0.5723014120920248;0.6159834231238627;0.8016578041494806;119119527.18949015;1.4956984555214168;-0.8012672377715903;2.148960281861436;0.8038981857991867;118871248.72630592;1.3898919229633107
1;-0.5517624996137093;0.21837450774941758;0.801623549303846;118892178.9365283;1.5073447405022191;-0.6600228503840507;3.3578408338854304;0.7977987175010911;119281789.54519862;1.419859403030627
2;-0.5441880403700045;0.1253137577266552;0.8013059117643394;119053058.52311543;1.5110276823495752;-0.7970577141046897;2.4843069382261254;0.8036635908477934;118949447.22552393;1.3905500094704901
3;-0.5404439837073319;0.10646489641583448;0.8014045734421479;119056410.85669596;1.5134909921839228;-0.6646797671974694;3.1248805956576517;0.8022951204393818;118871248.98467313;1.4323027242542543
4;-0.5386785088916253;0.08082380883822735;0.8022912104968022;118967040.609071;1.5174677454217136;-0.626985768722658;3.3975842825173865;0.7997849041426326;119241338.90465389;1.4434818589225802
5;-0.5362178026673329;0.06863114509381517;0.800559952450965;119158078.09528576;1.5134067998111582;-0.7699497293215973;2.9177924797129995;0.8012980919612136;119037420.46606193;1.3903562075455262
6;-0.5354941629929061;0.05960752688583199;0.8025101657860123;118943581.323741;1.520040181902822;-0.7159535907882432;3.221434613112401;0.804758367233251;118636653.73475133;1.418554418835373
7;-0.5335844516741098;0.05154431711549542;0.8002002064088424;119158078.26571152;1.513715458489801;-0.6375196237031989;3.628122102237322;0.8007507037521714;118998320.34469816;1.440680816475958
8;-0.533814745501947;0.04663619287022904;0.8025414451262263;118951401.02946512;1.52126839244444;-0.719367548730137;3.7056250755660862;0.7995581795852708;119379537.72536753;1.401121806582884
9;-0.5326876648412049;0.04579376130464095;0.8011230331428297;119087693.30497076;1.517370804136045;-0.729503465827014;3.6856637830141237;0.802326945564828;118928473.65381306;1.4058639919566698
10;-0.5325909133195355;0.041255568925960294;0.801806380978442;118943581.22114483;1.519447464599138;-0.7209587807827977;3.52182855336115;0.7989325929953972;119281789.7916797;1.3982177592830283
11;-0.5320073831141803;0.039964699995186564;0.8018268839274841;119025128.68020146;1.520088341388114;-0.7537033539760624;3.345819951091888;0.8046019705927742;118578005.43697216;1.4047260004718265
12;-0.5311109114623569;0.035617093515810626;0.8009227401284751;119150806.75833593;1.5178317305107283;-0.7084667574745959;3.3801962263255256;0.7998123240538004;119428411.59649672;1.4064165573307301
13;-0.5315009216951706;0.032146386440852694;0.8022491944650283;118860897.05608909;1.5213475817827347;-0.7510027972131287;3.4249750454052186;0.8015717860121335;118939672.74632467;1.3961105823032103
14;-0.5300346620760749;0.03177010649297396;0.8007037848355362;119150806.82014388;1.5177202902065428;-0.7197134174916443;3.568323195218387;0.8040672662857691;118781816.94110286;1.4151784503138247
15;-0.5303866786225429;0.03021636444908453;0.8017799606067274;119040770.22754715;1.5209791367254688;-0.6647762920652698;3.8758129331518942;0.8002228651651375;119203591.79730998;1.4260847970148829
16;-0.530346635005457;0.029986877082185417;0.8013293712911734;119025689.44835784;1.5193947780456698;-0.6534196325264053;3.9486144474047142;0.8010243978963109;119408862.08445418;1.4347456007226393
17;-0.529749307740554;0.028466605729650984;0.8011777770863456;119099424.19545156;1.519389153171996;-0.7274045432857472;3.6284441815751545;0.8032530497434477;118607329.51016578;1.4090678445204818
18;-0.5303496808325469;0.02704559161037963;0.8020771420602002;118923461.49791972;1.5217698637028894;-0.6640631295667759;4.121910806796865;0.7994720375346727;119182676.88885413;1.4237761221549265
19;-0.5293908188892671;0.02637321232591354;0.8014232092642732;119064788.8593056;1.5203599955258535;-0.6525822262517691;4.4209595665097945;0.8016890835507534;118939672.09508915;1.4363708548156926
0;-0.710024003530676;1.5238279184516215;1.0352754982452272;88085240.93974209;1.8415519834543028;-0.9530258651077748;2.004961630702019;1.03681640625;87744192.5075;1.7476906033605337
1;-0.6978610627393969;1.318964441789604;1.0385613760778547;87674015.73954652;1.8576203892769714;-1.096429268188141;1.4722950758752236;1.0408113391844525;88064567.8173216;1.7314476535047605
2;-0.6891970886454347;1.250484881456985;1.032501954653936;88709980.8481965;1.8458649524848287;-0.764125254384933;2.668690183561219;1.0265200390867009;88699953.19115022;1.7841762868073912
3;-0.6897839656440762;1.160953715250985;1.036283704573962;87925022.33910121;1.856086507713762;-0.8894802455604076;2.45362706258893;1.043828125;87402395.705;1.7901646634191275
4;-0.6878035895017276;1.0807502377266247;1.0378264269006727;87799113.49559292;1.859861605003348;-0.8403531202962322;2.62036207712757;1.0258748778150228;89589493.73059629;1.7523303430217918
5;-0.6838550470786882;1.078950156533597;1.0345973416741143;88365962.23899922;1.8548177538624586;-0.799882437891508;2.9536429351888676;1.0448973607131347;86334363.12054741;1.8201488341007996
6;-0.6830732480900841;1.022762176567358;1.0359890539474652;88162678.54561377;1.8584285590553582;-0.6834816043451428;3.6075832132995127;1.03111328125;88935598.3;1.84409323066473
7;-0.6822445011702586;1.0036536644659455;1.0339234075810864;88198566.58057053;1.85377220298779;-0.6648938235509431;4.4231960352751285;1.0351417399827803;88064567.39534701;1.8633758294943608
8;-0.6814166597750524;0.9978781775450968;1.0352306489426237;88064946.01700547;1.8565492363289244;-0.9111465552685197;2.154116386528239;1.0339882697923908;88465349.59233627;1.757213497157204
9;-0.6794972259220992;0.9562200059105028;1.036450351839237;88190043.75593433;1.8626426209147038;-0.6835189932584762;4.227801219522953;1.0391796875;87851614.2125;1.8659740275144576
10;-0.6793950964791221;0.9333202436752763;1.0353244722476689;88064945.99049257;1.8580887638711667;-0.6692705051500427;5.442734593627273;1.0360215053763442;87487832.71288368;1.8644383768368793
11;-0.6779651957268172;0.9267237672348329;1.0343141852286049;88253275.41670965;1.8566560922855975;-0.7412171886253917;4.497994892198669;1.0319550342270822;89051859.70956011;1.8130072884452424
12;-0.6785391599834665;0.9147172362689421;1.0375136825635716;88041490.07036747;1.8661661388204842;-0.6730552059412003;4.838551167845726;1.036875;87851614.2975;1.8637448163330554
13;-0.6770362322567216;0.9084545098492137;1.034878811565948;88162678.52040657;1.8589850762376943;-0.7167687512446242;3.1348903640344346;1.0353958944374748;88015691.60664712;1.83535965556856
14;-0.6772570559614196;0.9115573269424609;1.0363696756573477;88069610.0234154;1.8629742310912687;-0.7592987777923442;3.059934168943329;1.037644183773216;87966816.05051808;1.823361748744782
15;-0.6758239832755828;0.8981181107823787;1.0340578577031934;88322960.00493877;1.8570027626166594;-0.7117990238552336;3.2639509142319127;1.0334799608946545;88504450.24875855;1.8306226621927986
16;-0.6766779191732593;0.9010522177994857;1.0365363565276058;87896846.06736512;1.8637588058373629;-0.7910790612921119;3.739592444598675;1.035078125;88183645.2275;1.800475285127759
17;-0.6752110349777809;0.8831979247538535;1.0361297889031684;88100129.70476936;1.8630914029038632;-0.698956172902097;4.687508353916664;1.0386608015616967;87614910.05497557;1.8539902590912924
18;-0.6745169278717265;0.865443509096231;1.035885111370698;88163396.59054318;1.8634277115058229;-0.7496128953773372;4.672511276187318;1.0342815249243555;88357822.93583578;1.8133881008357013
19;-0.6737542786665314;0.8662783074728486;1.0337920250214105;88150950.63005473;1.8567608825735415;-0.8414414672926068;3.402184877693653;1.0371875;88046926.7125;1.7836089535802602
0;-0.755748379388886;1.1555555689451331;1.0361352090688365;88171212.06496288;1.822843218671479;-0.8025407575815916;2.4263932278752325;1.03291015625;88252004.6375;1.8022674684971571
1;-0.7427649991599912;1.0295434397678063;1.0336356528463355;88330778.67956215;1.819940858508014;-0.8073430375549451;1.9725768814478453;1.0409481916026753;86999074.4226784;1.8206755351274477
2;-0.7412227029312021;0.9984350056458116;1.0389288506720382;87568464.62436278;1.836104493044241;-0.7577321838843158;2.2046406586638643;1.0292570870036837;89697020.68721408;1.8094380180343972
3;-0.734935437408729;0.9742774120798889;1.0351582649435183;88214197.5766784;1.8284048199029395;-0.7805065238475799;1.9636633380502462;1.03994140625;87353567.16;1.83255451656878
4;-0.7332891535302267;0.9437921236636025;1.0339562157861324;88209590.26827209;1.826174391203322;-0.799608897631469;2.098167239932138;1.0386021505516179;87624685.19585533;1.8161497656504313
5;-0.7315690467952284;0.9412372041475596;1.0356606724068371;88319050.80181392;1.8324002588503616;-0.7624642382339298;1.5517202408129636;1.034633431085044;88240520.72774194;1.8209290622569483
6;-0.7302867004739018;0.923152677978362;1.0355277560594214;88096220.39593433;1.8303544055064085;-0.762943716533482;1.9351259888708592;1.032734375;88710988.7625;1.8180149015039206
7;-0.7275573227525736;0.9285213539618075;1.0353536537728676;88280629.72817507;1.8333978673395304;-0.7713451834111852;1.7732085344635264;1.0390127077223852;87302104.47765397;1.8324100679293174
8;-0.7304467896868979;0.9148841884343115;1.0390148553604068;87603648.2479437;1.8422063586393123;-0.7761414336738698;2.0091746262208225;1.029589442810588;89061634.68668622;1.7989195781019776
9;-0.7263544523464319;0.8940476498648268;1.0322986708319308;88303413.39371383;1.8230430557869486;-0.7799023812636733;1.9182214669138193;1.03916015625;88056691.9775;1.8289968997240067
10;-0.7262461633864933;0.9070523488237301;1.0365754495727726;88190043.76581705;1.8373470275023656;-0.7732545280677948;1.7426948309550654;1.037272727275058;87585584.37599218;1.8204781430068253
11;-0.7258404690896034;0.904790883019549;1.035822586947095;88186843.18912075;1.8351466139148296;-0.7373691266722693;2.3059424418601355;1.0335581622818233;88211195.19702835;1.8251319439460105
12;-0.7239389796509604;0.8842443684099986;1.034824081313526;88268229.94014074;1.8338752927772695;-0.758667607754469;1.659450928196311;1.0359765625;88339895.095;1.8250982338935138
13;-0.725355578293737;0.9002674117453682;1.0350039092994836;88037580.85892104;1.83176965324463;-0.7643795983649185;2.050739810156799;1.0370967741912178;88064567.86674486;1.8296152780389272
14;-0.7239118501449665;0.8813106336347662;1.0369558421230354;87987546.65566237;1.8391906317941562;-0.7674204119186364;1.8775334851692849;1.0329716519969183;87741987.07237537;1.8150997723791955
15;-0.7251122595137969;0.8860928328974905;1.0366927286887002;87787385.59924941;1.8377553927562869;-0.7691270881932036;2.0467468864244216;1.0368426197481762;88543550.94021505;1.8270486044184553
16;-0.7214645874658723;0.8737228514879732;1.0347928068822394;88377690.27715403;1.8335492857235125;-0.746658144891262;2.3038843140006064;1.03484375;87910207.7975;1.8252130042016506
17;-0.7211452271641932;0.8758654182697293;1.0349882720894326;88209590.19208758;1.8350314499308487;-0.7622815974297062;2.2354795011537165;1.0364711632406955;88729278.95304008;1.827428534797676
18;-0.7207144169916442;0.8685049678590812;1.03649472450269;88139949.92243846;1.8395970004608315;-0.7661703774959344;2.166857250377696;1.035904203318897;88015691.76304986;1.8245752467764205
19;-0.7218060015392452;0.8735435621490508;1.0367630961763383;87939848.32944489;1.8394317583966946;-0.7677580041438341;1.8388036390393971;1.03419921875;88388723.2425;1.819242437183857
20;-0.7198058212493154;0.8801219728824401;1.032509773265952;88338597.08178264;1.8270157266352864;-0.7519679959521849;1.827598681305394;1.0383675464320625;87233678.48727272;1.8319479187306305
21;-0.7208720854383787;0.8771121860522139;1.0365989053873834;88053218.00528538;1.8398401526066361;-0.7597795119371815;2.128935443294596;1.0328934506447085;88289396.64516129;1.813838053551354
22;-0.7195320550218696;0.8703445678839883;1.0359945291073447;88093056.61161391;1.8384322949730358;-0.7691548697650432;1.9605904730409385;1.03880859375;87900442.1675;1.8318866167217494
23;-0.7193138284362602;0.8688823616751663;1.0335574667709149;88322959.891853;1.8329356833255506;-0.7614723537860845;2.109920058777139;1.0366862170134588;88269846.13974585;1.8250570708589005
24;-0.7197499207652482;0.8742527898621801;1.038092259575931;87885118.12928851;1.8419361684357776;-0.7478063587172873;2.5831031638785893;1.0347507331471522;88005916.72086021;1.8238608756209864
25;-0.7192768143750392;0.8677260567444104;1.034658069562148;88182935.50574443;1.8351088063350736;-0.752941113896668;1.5563207801803947;1.03349609375;88427785.90375;1.8220391049981117
26;-0.7196124863158547;0.8552041228407989;1.0370836591012222;88037580.76871516;1.8425466492457536;-0.7636304635316395;1.8243939255898998;1.0399315738072028;87624684.93450636;1.8353046928146601
27;-0.720115544833272;0.857059425732603;1.0364816262714558;87775657.5838624;1.8389625509387353;-0.7661630551206751;2.046171823757485;1.0249951124191283;89423315.75601172;1.7950816971768615
28;-0.716805762639728;0.867155815999521;1.0337216575393646;88405055.28431587;1.8313872078026152;-0.7638292404213959;2.203134189877925;1.0412805474002573;87575809.37040079;1.8350850602818374
29;-0.7182036620818716;0.8695709191490403;1.0360101602225622;88241552.087034;1.8401310889149793;-0.758757130689919;1.8893282630294561;1.037421875;87968801.52;1.8282820242643356
30;-0.7173614578893913;0.8616361641678799;1.0345426114077116;88111857.66242377;1.8352938583290512;-0.7581549041105738;1.845488818388647;1.0280449657822401;88250295.99343109;1.800480442354756
31;-0.7176754956463522;0.8671738350512554;1.0370992963345746;88115766.85216576;1.8437837596606985;-0.7453515029512892;2.1276767261520044;1.0412414467229871;87790862.89391984;1.8490603373640326
